smp = 50;
R0 = rot([1;0;0], pi/4);
[x, y, z] = path_sine([-0.15; -0.2; 2.6], R0, [0.15; 0.3; 0], smp);
rs = [x; y; z];
qs = nan(4, smp);
for smp_idx = 1: smp
    Rc = expm(up_hat([1;0;0]) * (-(z(smp_idx)-2.6)./max(z-2.6).*10+8)/180*pi);
    qs(:, smp_idx) = rot2q(R0 * Rc);
end



cost = 184.4856



-0.643542120670999,-0.435109234251701,1.06396054296361,0.531079445992875,0.512751175596734,-0.126187629202079
-0.629991951553156,-0.414707187816185,1.01493713121007,0.501631807589497,0.524511590344979,-0.112571442221774
-0.614405844179615,-0.394653556269756,0.96286757820786,0.472458738929097,0.537809423782306,-0.0992862646641356
-0.597021729097615,-0.375110529839358,0.908506835336449,0.443842740537998,0.552486937861115,-0.0864805712512045
-0.578186398182905,-0.356233072254586,0.85277946318131,0.416068248675248,0.568309169964813,-0.0742960551291125
-0.558400691015899,-0.338189503562438,0.796874377126136,0.389461090682743,0.584910435460982,-0.0628892024386991
-0.538287325782608,-0.321141046455766,0.742183755705322,0.364345710102796,0.601818423438665,-0.0524130679517513
-0.518677166437564,-0.305278249347861,0.690483895471835,0.3411165480891,0.618356169399275,-0.0430546255644109
-0.500487905663238,-0.29076891600952,0.643695527456302,0.320131246586476,0.633755872461037,-0.0349841224748059
-0.484821722859094,-0.277802766874117,0.604088658253252,0.301798664388617,0.647048839447326,-0.0283995043128926
-0.472590773902283,-0.266474348277836,0.573530994873648,0.286339734074016,0.657438317117241,-0.0234058338863572
-0.465365675745106,-0.25705120304132,0.555209515352755,0.274329512491368,0.663426281689383,-0.0202921493947866
-0.463360291034641,-0.249433989599744,0.549568140695329,0.265590624407982,0.6648538811316,-0.0189580558442514
-0.467339201789345,-0.243634894106079,0.558150183679802,0.260184098715089,0.660969271490719,-0.0194356295655853
-0.476972839176254,-0.239446907755918,0.580292942372011,0.257711601599683,0.652084513142857,-0.0215109099184828
-0.491798299122835,-0.236658013405775,0.615060426727964,0.257765528986861,0.638605801214838,-0.0249670512652948
